Chinese	English
她的书很苦，但很聪明，	Her volumes were very bitter but they were very clever,
在勇士之间穿梭，他们监督着	Moving among the warriors, they supervised
海因里希对此毫不惊讶。克隆是为了保存基因，但至于性能，天性和后天培育孰优孰劣，还是不能一概而论。	Hinrichs is not surprised. Cloning is about preserving genes. When it comes to performance, the nature versus nurture factor can't be ignored.
小行星750	750 Oskar
我们将把现在看作是标志着那个黑暗时代的结束，在这个时代，人类舒适的冷却相对较少。	And we will look upon present times as marking the end of that dark age in which there was but relatively little cooling for human comfort.
对民主和公民参与的影响	Implications for Democracy and Civic Engagement
简单的商业问题。	Simple business question.
如上所示，在这20周中有3周专用于组织事项，不需要新闻部定期进行新闻、广播、电视和图片报道。	As indicated above, 3 of the 20 weeks would be devoted to organizational matters which do not require the regular press, radio, television and photographic coverage provided by the Department of Public Information.
嗯，科学家也是这么想的。	Well scientists think the same.
安那翰	Anaheim, California
嗨。	Hi.
我认为，在我们找到更有效的方法将分享长者故事的过程制度化之前，这个国家不可能成为最好的自己。	I think that this country cannot become its best self until we find ways more effectively of institutionalizing that process of sharing the stories of the elders.
1998年安道尔	1998 in Andorra
因为我演艺生涯所需的记忆已经丢失，消失了，我担心它已经消失了。	For my memory needed for my acting career was lost had vanished it was gone i fear.
除了建立个人联系之外，创造包容性的环境还涉及到使用尊重和周到的语言。这包括避免基于刻板印象的假设，询问偏好的代词，以及了解不同的文化和传统。通过实践包容性沟通，我们向他人展示同情心、善意和开放态度。	Beyond building personal connections, creating inclusive environments involves using respectful and considerate language. This includes avoiding assumptions based on stereotypes, asking for preferred pronouns, and learning about different cultures and traditions. By practicing inclusive communication, we demonstrate empathy, kindness, and openness towards others.
向特派团所有新到人员提供了安保方面的上岗培训	All incoming Mission personnel provided with security induction training
那么注意力到底是什么？	So what exactly is attention?
比赛，跪着的运动员。	Race kneeling athletes.
因为他已经在那里面对面地相遇了。	For there he had already met himself face to face.
您通过积极参与这些倡议并倡导赋予同龄人权力的政策，也扮演着至关重要的角色。	You also have an essential role by actively participating in these initiatives and advocating for policies that empower your peers.
这个词汇学习平台提供图片词典和音频。	This vocabulary learning platform provides a picture dictionary and audio.
巴伦决定用乔伊的鼻子想出一个测试，根据它的分子特征来证实这种疾病的存在。	Barran decided to use joy's nose to come up with a test that confirmed the presence of the disease based on its molecular signature.
这是批评苹果或三星等手机巨头从冲突地区或劳动实践可疑的公司采购零部件的替代方案。	An alternative to criticising mobile phone giants like apple or samsung for sourcing components from conflict zones or companies with dubious labour practices.
尽可能地邀请读者，并使其	Inviting to a reader as possible and and making it
但是如果以按比率分配的代表制建立一个大约有500多成员构成的全球立法机构，将会妨碍大多数国家的自动成员资格，所以这想法应当被摒弃，而应当最大限度地提高现有机构的效率，通过它们施加影响。	But the idea of a global legislature of some 500 members, which, if based on proportional representation, would preclude automatic membership of most countries, should be abandoned in favour of maximizing the effectiveness of existing avenues of influence.
邀请他参加安息日晚宴。	Invited him to shabbat dinner.
加入每个课外俱乐部或活动可能很诱人，但请记住答应太多事情会留给你学业的时间很少。因此，在选择课外活动时，要基于兴趣和潜在利益，慎重选择。礼貌地拒绝那些干扰你学业责任邀请。记住，现在设定界限为将来成功奠定了基础。	As tempting as it might be to join every afterschool club or activity, remember that saying yes to too many things leaves little time for academics. Choose extracurricular activities carefully based on interest and potential benefits. Politely decline invitations that interfere with your academic responsibilities. Remember, setting boundaries now sets you up for success later.
它在行政上隶属于总理。	It is administratively linked to the Prime Minister.
所以我们认为存在的给定世界，以及我们所处的坚实基础，是如此的试探性。	So the given world that we think is there and the solid ground we are on is so tentative.
事实上，自从我们上次谈论塔布的事业以来，他们已经为慈善事业筹集了一万三千美元。	In fact since the last time we talked about tab for a cause they've raised over thirteen thousand dollars for charity.
因此，我们一直在处理这些问题。	And so we deal with these issues all the time.
建议的热点应该是微软认为合法的热点，	Suggested hotspots are supposed to be hotspots that microsoft has deemed legit,
一个叫做听的新程序，它在生活中的目的只是添加事件侦听器。	A new one called listen whose purpose in life is just to add that event listener.
国际罗姆人联合会	International Romani Union
第四个夏洛塔同意了，	Agreed charlotta the fourth,
如果你加上新的发现，你可以取得辉煌的成果。	And if you add the new discoveries you can achieve brilliant results.
这里生长着治愈一切、神果佳品，色泽艳丽，味美可口，	Here grows the Cure of all, this Fruit Divine, Fair to the Eye, inviting to the Taste,
而长期检验的结果则揭示出经过一个时期之后，外资银行进入对经济增长的促进作用无论在数目比重还是资产比重变化上都开始显现出来。	Long term results show that after a period time the positive effect on economic growth of foreign banks entry starts to appear both through number share and capital share.
在美国，心脏病学家所需的教育主要在大学四年和医学院的前两年获得。必要的培训是在医学院的最后两年、住院医师培训和尤其是在进修期间获得的。	In the USA, the education that is required for the cardiologists is gained especially during the four years of college and the first two years of the medical school. The necessary training is acquired during the last two years of the medical school, during the residency program and especially during the fellowship.
勒普拉尼亚	Le Plagnal
磁体会在超导平面上方大约1厘米处悬浮。	The magnet would float approximately 1 cm above the superconducting plane.
我们要感谢这两位西方哲人，他们对知识的分类，为我们研究提供了方便，但他们不是发明家，他们没有发明，他们只是记录者。	We thank these two western philosophers for classifying knowledge, thus making our research easier. But they didn't invent. They did not invent. They only recorded.
第12季，布莱恩的生活。	With the season twelve episode life of brian.
我们认为这种机制将通过一些生物标志物，这也是我们将要测试的，不仅仅是它是否有效，而且它对谁有效。	And we think the mechanism is going to be through some of these biomarkers and that's what we're going to be testing as well not just does it work but who it works on.
所以如果你想评估汉娜可能是什么样的学生，	So if you're trying to assess what kind of a student hannah might be,
另外，如果要插入新列或新行，	Also if you want to insert a new column or a row,
财产，教室物品，个人物品，以及房间内的位置	Possessions, classroom objects, personal items, and locations in a room
让我们把它们放在一边，因为现在，我发现它们不太有趣，	Let's put them aside because for now i find them much less interesting,
全套提单正本，填写好的定单和签署。	Full set original bills of lading, made out to order, blank endorsed.
如果室内空气太干燥，也可以用点加湿器。	If the air in the room is too dry, buy a humidifier.
此外还将在3月初举行一次非正式讨论会，以使大会能够为筹备伊斯坦布尔最不发达国家问题会议作出贡献。	There will also be an informal thematic debate in early March so that the General Assembly can contribute to the preparations for the Istanbul conference on the least developed countries.
我不知道这是让事情变得更糟，还是没有让事情变得更糟。	I don't know if this is making it worse or not making it worse.
至少让我在你的祈祷中	At least keep me in your prayers that i
应用科学的管理方式加强安全基础管理，促进生产的发展。	By use of scientific managing methods, it is able to enhance the base management of safety, thus promoting production development.
食物不耐受是指当您的身体难以消化某些食物时发生的情况。这与食物过敏不同，后者可能导致严重的症状，如呼吸困难或皮疹。与食物不耐受不同，您的身体可能难以分解食物中的特定成分，或者您的身体可能对食物中的天然化学物质产生反应。	A food intolerance happens when your body has trouble digesting certain foods. This is different from a food allergy, which can cause serious symptoms like difficulty breathing or hives. With a food intolerance, your body might have trouble breaking down a particular ingredient in a food, or your body might react to a natural chemical in the food.
然而，我们有这种清澈的水和高度的多样性。	Yet we had this clear water and high diversity.
他回答说，你怎么知道你现在不是一只梦见他是个男人的蝴蝶？	And he replied how do you know that you're not now a butterfly dreaming that he's a man?
我们最有可能在研究补充的效应。	that we were most likely studying the effects of supplementary
在胶体中存在的以相对较大固态或液态粒子形式分散相物质	dispersed phase substance present as relatively large solid or liquid particles in a colloid
先把这些蛛丝固定下来。这些蛛丝必须非常坚韧。	Attach these threads first. These threadds must be very strong.
尽管也可用深水压力流。	although deep pressure currents can be used as well.
到今天为止，我们只讨论了无罪推定的权利。	So far today we've only been discussing the right to be presumed innocent.
并且需要比你已经承认的脸上的收据更少的证词，收据已经印在你灵魂的每一种温柔的感觉上。	And require little farther testimony than the receipt carried in a countenance which you have already confessed has stamped its validity upon every tender feeling of your soul.
你最近的星座研究怎么样了？	How is your study of the stars coming along?
伯尼的小笑话。	A little birdie joke.
协会疑问10	Query 10 by SPH
强迫系统寻找指定的文件名	Forces the system to seek the specified filename
农民鼓励可持续发展委员会第十九届会议考虑重申可持续发展委员会第十七届会议成果的一些关键内容，包括需要共享市场信息，需要科学研究及小额信贷的作用。	Farmers encourage the nineteenth session of the Commission on Sustainable Development to consider reiterating some of the key elements of the outcomes of the seventeenth session, including the need for information sharing on markets, the need for scientific research, and the role of microcredit.
然而，联合国的支持将分阶段提供，首先在加奥和廷巴克图开发主要行动基地，通过这些基地支持北部其他地点，包括计划在基达尔设立的天线办事处。	United Nations support will, however, be phased in, first through the development of major operational bases in Gao and Timbuktu, from where other locations in the north, including the planned antenna office in Kidal, will be supported.
作为印度电报服务的主管，高尔先生说，他有一种预感，他的名字将是记录上的最后一个。	As chief superintendent of India's telegraph services, Mr Gaur said he had an inkling that his would be the last name on record. ...
一个女孩在抱怨她的朋友总是迟到。	Jenny Is Always Late BACKGROUND A girl is complaining about her friend always being late.
我本能地战斗，那些最初的时刻我的脑海中充满了惊讶的震惊。	I fought instinctively those first moments my mind was whirling with the shock of surprise.
我将在一分钟内解释为什么会这样。	And i'll get into why that is in just a minute.
完成那项工作需要三个小时。	That work will take three hours.
请告知反恐委员会民航组织是否对贵国的国际机场进行了安全审查。	Please inform the CTC as to whether ICAO has conducted a safety audit of Brazil's international airports.
这让我很生气，所以我试着用一点力量。	That's got my goat so i tried using a little force.
这段代码片段模拟了挖矿过程，返回了发现一个区块所需的时间、挖矿过程中区块链的尖端以及获胜的挖矿者。	The code snippet is a method that simulates the mining process and returns the time it takes for a miner to find a block, the tip of the blockchain at the time of mining, and the winning miner.
英国铁路43型柴油机车	British Rail Class 43
类似的机构在俄罗斯联邦的各组成实体中也正在建立。	Similar bodies were being established in the constituent entities of the Russian Federation.
苹果或桃子摩擦一磅新鲜黄油，	Apples or peaches rub together a pound of fresh butter,
最后，经过数不清的失眠之夜，他们终于在提交截止日期前完成了代码。他们满怀信心地提交了自己的作品，希望为家乡和自己带来荣耀。	Finally, after many sleepless nights, they completed the code just before the submission deadline. Confidently, they submitted their entry, hoping to bring glory to themselves and their beloved hometown.
我决定回到那里有几个原因。	I decided to return there for a couple of reasons.
他被拘留在纽约，然后在10月8日被关押在那里。	He was detained in new york held there and then on october eight.
然后纽约市越来越多的人开始死亡，两天内大约有60人死亡，模式是一样的。	And then more and more people start dropping dead across new york city about sixty deaths in two days the pattern was the same.
几朵参差不齐的云彩漂浮在上空，薄纱般闪动的星星，他的心砰砰跳着，碰碰跳着。	A few ragged clouds overhead, a gauze of stars, his heart pumping, pumping.
更好的生活条件和增强的公共卫生意识	Better living conditions and enhanced public health awareness
魔术师把硬币藏在掌中，然后突然从一个男孩的嘴里把它变出来。	The magician palmed the coin and suddenly produced it from a boy's mouth.
他是，但他还没有看到月亮。	And he's but he's not seeing the moon yet.
邦特兰当局不合作，没有对要求提供信息的请求作出答复。	The Puntland authorities withheld their cooperation and failed to respond to requests for information.
很容易继续通过19世纪初知识分子的浪漫主义和民族主义幻象来看待流行文化。	it is all to easy to continue to see popular culture through the romantic, nationalist spectacles of the intellectuals of the early 19th century.
但是，由于布莱尔积极踊跃地支持布什的战争，其政绩将会永远大打折扣。	But if it has now been discredited in the minds of the British people, the result may be a new element of independence into British strategic thinking.
由于全球变暖，导致全球变暖的热量。与其他世界大部分地区不同，这个	of heat which leads to global warming. Unlike most regions of the world, the
巨石阵复合体的建造跨越了3000年的多个施工阶段，尽管在该地点之前和之后都有活动的证据。	The Stonehenge complex was built in several construction phases spanning 3,000 years, although there is evidence for activity both before and afterwards on the site.
此外，该国还进行军事演习，其中包括从马尔维纳斯群岛发射导弹，这不仅违反了上述决议，而且阻挠了国际海事组织海上安全标准的充分执行、与该区域始终寻求和平解决争端的政策背道而驰。	Furthermore, it was carrying out military exercises, including the firing of missiles from the territory of the Malvinas Islands, which not only violated the aforementioned resolution but also obstructed the full implementation of the maritime safety standards of the International Maritime Organization and ran counter to the region's policy of consistently seeking a peaceful settlement of the dispute.
函数是可重用的代码块，执行特定任务。它们接收输入、处理它们并产生输出。函数有助于我们组织代码，使其更加模块化和易于阅读。	Functions are reusable blocks of code that perform a specific task. They take inputs, process them, and produce outputs. Functions help us organize our code and make it more modular and readable.
我的手臂感觉像是睡着了，当我看到你时，我正准备放弃。	My arms felt like they had gone to sleep and i was just ready to give up when i caught sight of you.
对。	Right.
外交工作开创了新局面。	Our diplomatic work entered a new phase.
在他们称之为异端的方式之后，	That after the way which they call heresy,
就像我们之前把孩子通过对话而不是打架来解决玩具纠纷作为类比，德国更倾向于用和平的方式来解决冲突。通过谈判、调解和国际机构的合作，德国努力防止战争并促进稳定。一个显著的例子是德国积极参与中东和平进程。	Like our earlier analogy of kids resolving toy disputes through dialogue rather than fights, Germany prefers peaceful methods for addressing conflicts. Through negotiations, mediation, and partnerships with international bodies, Germany strives to prevent wars and promote stability. One notable instance is Germany's active involvement in the Middle East peace process.
求你举步去看那日久荒凉之地，仇敌在圣所中所行的一切恶事。	Turn your steps toward these everlasting ruins, all this destruction the enemy has brought on the sanctuary.
但第二年，他转而学习医学。	But the following year he switched to studying medicine.
1913年各国	1913 by country
这是一场大屠杀，这是一场大屠杀。	This has been a ah bloodbath this has has been a massacre.
三维内的内核各向异性。	Inner core anisotropy in three dimensions.
侦探费克斯这份电报一发表，马上起了立竿见影的效果，一位高贵的绅士在人们的心目中变成了个偷钞票的贼了	FIX, Detective.The effect of this despatch was instantaneous. The polished gentleman disappeared to give place to the bank robber
但就是没有任何意义。所以我们制定了一个艰难的停止。	But just didn't make any sense so we instituted a hard stop.
用顾客的隐喻，说顾客的话，能够让彼此的沟通更加深入。	Speaking customers' language through metaphor offers a means of communicating with them more deeply.
一套标准的轮班时间是12小时。宇航员每周有一天休假，从繁重的家务和实验工作中解脱出来。太空中的卫星电视接收效果很差，真是奇怪。不准抽烟，也不许喝酒。在失重状态下，身体会逐渐衰退，所以宇航员必须不断锻炼，每天至少两个小时。	A typical work shift lasts 12 hours. Astronauts get one day off a week, a respite from the grind of chores and scientific experiments. Satellite TV reception in space is poor, oddly enough. Smoking and drinking are not allowed. Bodies deteriorate without gravity, and so the astronauts exercise constantly, at least two hours a day.
但是我知道你必须非常诚实地写作，否则它不会以这种方式出现。	But i do know that you have to write very honestly or it's not going to come across so in that way.
删除任何弱小、稀疏的枝条，并在必要时修剪到基本框架。	Remove any weak, straggly stems and cut back to a basic framework if required.
脑血管疾病	Cerebrovascular diseases
有趣的是，	Interestingly enough,
这是唯一值得旅行的道路。	And it is the only road worth traveling.
现在有油，22英寸长，活蹦乱跳，翻倍了。	ole now, 22 inches long, alive and writhing and twice as
所以和我们谈谈海地，让我们用海地和爱这个词。	So talk to us about haiti and let's like take those words haiti and love.
委员会确认，就缔约国遵守第14条规定的义务而言，仅提供金钱赔偿是不够的。	The Committee affirms that the provision of monetary compensation only is inadequate for a State party to comply with its obligations under article 14.
大贷款、出租车等无关，	Big loans taxis et cetera,
你的第一个救赎计划让你失望了，	Your first salvation project has to disappoint you,
教育、妇女和文化部妇女司负责促进妇女发展项目。	The Department of Women within the Ministry of Education, Women, and Culture is responsible for facilitation of development projects for women.
罢工者的其他要求多种多样。	The content of other requests of the strikers was diverse.
今天早上我醒来，看到明亮的阳光淹没了我的阁楼。	I awoke this morning to see the bright sunshine flooding my garret.
当你吃水果和蔬菜时，这些食物中的纤维有助于使你的食物废物达到正确的质地。此外，它还有助于加快废物通过你的肠道。	When you eat fruits and vegetables, the fiber in these help make the waste from your food the right consistency. It also helps the waste move quicker through your intestines.
他对任何寻求完全与觉知之召唤相协调的人的建议是，走出去到乡间，仅仅享受那里的奇迹。	His advice for anyone seeking to fully attune to the call of awareness is to get out into the countryside and just enjoy the miracles that abound.
它几乎完美的圆形形状使它很受游客欢迎，经常来这里的游客中，潜水爱好者是最吸引人的，他们正在探索它的深度。潜水员也被大量的稀有动物种类和生命形式所吸引，这些只能在那个地方找到。	Its almost perfect circular shape made it very popular among tourists who often visit this place, being the most attractive for scuba divers who are exploring its depths. Divers are also attracted with plenty of rare animal species and forms of life which can be found only in this place.
第一层甲板发生了爆炸，接着是水泥粉尘的淋浴。他抬头望去。	first deck felt an explosion and a shower of cement dust. He looked up
氮氧化物	Nitrogen oxide
包装有时会被忽视，因为公司可能不知道确保产品完整无损并保持完整的重要性。但是包装不仅仅是使用哪种类型的包装。拥有高质量和可靠的包装系统，如胶带机，将确保产品能到达生产线的终点。	Packaging is sometimes neglected by companies that are not aware of the benefits and importance of ensuring that the product is received in one piece and not in pieces. But packaging is not just limited to the type used. Having a high quality and dependable packaging system like a taping machine will ensure that product will reach the end of the line in order
参见毕业设计及先前学习评估部分，以了解如何经常使用作品集的例子。	See capstone and prior learning assessment for examples of how portfolios are often used.
转基因作物	Genetically modified crops
北京警告这一举动会引发台湾海峡的严重危机。	Beijing warned the move would trigger a serious crisis across the Taiwan Strait.
这是投资和公共资产管理部对战略撤资的定义	This is the definition of strategic disinvestment according to the department of investment and public asset management
我将尝试在这个时候做生活。	I'm going to try to do lives around this time.
不要在马拉松前一周骑骆驼进入撒哈拉沙漠，	Not to ride a camel into the sahara desert the week before a marathon,
因此，这构成了对公平审判权的严重侵犯，再次使拘留具有任意性。	Accordingly, this constitutes a violation of the right to a fair trial of such gravity that it confers on the detention, once again, an arbitrary character.
虽然根据国家对国际不法行为的责任条款，国家给予有效同意就是解除不法性的一种情形，但在涉及国际组织时，这个问题绝对没有这么明晰。	Whereas valid consent given by a State serves as a circumstance precluding wrongfulness according to the articles on the responsibility of States for internationally wrongful acts, this issue is by no means so clear with respect to international organizations.
第二天，一家雇用大量华工的羊毛针织厂也遭到了围攻。	On the next, there was an attack on a woolen mill employing many Chinese workers.
提醒自己散步不仅是为了锻炼，也是为了呼吸新鲜空气。	Reminding myself to take a walk not only for exercise but for the fresh air.
似乎有一种法国人的声音，	There's a wheen of frenchmen seemingly,
他们在经济上支持我，	They supported me financially,
这与人类腐烂的时代相对应，当时一位老先生掉了门牙。	It corresponds to that epoch in human decay when an old gentleman loses an incisor tooth.
马丁穿出房顶去抓稿件，落下时手里已拖了一大抱。	Martin went up through the roof clutching at manuscripts so that by the time he came down he had a large armful.
他的返回将标志着一个漫长而困难的重建时期的开始。	His return will mark the beginning of a long and difficult period of reconstruction.
如果没有位置和装饰的前期成本以及所有其他变量，它将很快变得非常有竞争力。请不要做一屋子零售商，	Without all the upfront costs of locations and decorations and all the other variables it's going to get very competitive really fast please do not do what a room full of retailers,
巴比伦三位一体的第三点被称为萨米拉米女王，也被称为伊什塔尔，他们说，	And the third point of the babylonian trinity was called queen samiramis also known as ishtar and um what they said was that,
本土化，	Indigenization,
这是一个尖锐的笑声。	It was a shrill laugh.
我曾经和你一样想，他温和地说，	I once thought as you do he said gently,
工作队决定，专家组第一次会议应以一份更详细的附加说明的大纲作为进行讨论和作出决定的主要专题。	It was decided that a more detailed annotated outline should be the main topic of discussion and decision at the first meeting of the expert group.
在一个新区域的建立仅发生在足够数量的存活线虫被运送到一个随后种植易感宿主且环境适宜该线虫物种繁殖的地点时。	Establishment in a new area occurs only when sufficient numbers of viable nematodes are transported to a location where susceptible hosts are subsequently planted and where the environment is suitable for reproduction of the nematode species.
然而，这只山羊担心如果让它站在自己的背上，自己的背部可能会伤害到它。他确信，公羊是应该求助的合适朋友。	The goat, however, feared that his back might do her some harm if he took her upon it. The ram, he felt sure, was the proper friend to apply to.
他们似乎在丛林里向他呼唤，有时巴克想离开火堆回应那呼唤。	They seemed to call him into the forest, and sometimes Buck wanted to leave the fire and answer the call.
战略计划问题讲习班	Workshop on the Strategic Plan
不，我以前只祈祷。	No i used to only pray.
2004年12月，非洲委员会认定不存在所声称的侵犯申诉人权利的行为。	In December 2004, the African Commission found no violation of the complainant's rights as alleged.
你们以前用重力。太过时了。	You people used to use gravity so old fashion.
回顾人权委员会、人权理事会和大会通过的以往所有有关增进人权领域的国际合作的决定和决议，	Recalling all previous decisions and resolutions on the enhancement of international cooperation in the field of human rights adopted by the Commission on Human Rights, the Human Rights Council and the General Assembly,
他双臂放在头下，盯着天花板。	And with his arms under his head he was staring at the ceiling.
2002年，阿拉伯国家联盟和裁研所开始了一项合作研究和培训方案。	In 2002, the League of Arab States and UNIDIR began a collaborative research and training programme.
这里，我愿就深化中荷经贸关系提出如下建议。	To this end, I wish to make the following proposals.
就像这个银色的贝壳，	Like this silver shell,
各县会打这个号码给州政府，	The counties would call that number up to the state,
委员会通过的所有决议和决定以及主席的声明一览表，按议程项目分列，见附件五。	For a list of all resolutions and decisions adopted by the Commission and Chairperson's statements, by agenda item, see annex V.
她太棒了！她能通读我的话，给我她的想法，	She's fantastic she's able to read through my words and give me her thoughts,
你知道它打开了离开的大门。	You know it opens the door to leaving.
资源的投入将建设发展中国家的生产能力和应变能力。	Investment of resources would build productive capacity and resilience in developing countries.
我不觉得奇怪。	That didn't feel weird.
确保提供高效率和妥善的服务，以方便各部门支付款项，以及方便市民缴交政府帐单。	To ensure that efficient and effective services are in place for departments to make payments and for the public to settle government bills.
仅在亚洲，据估计在过去的30年中，3千万妇女和儿童遭到贩卖，成为性剥削对象。	In Asia alone, it is estimated that over the past 30 years, 30 million women and children have been trafficked for sexual exploitation.
获取文化的一种方式是通过文化的故事。我们所遇到的故事以及我们对它们的回应告诉我们我们是怎样的人。由于这种引人入胜的回应，故事可以强化文化的特定细节和偏见，或者挑战它们。	One of the ways we acquire culture is through the culture's stories. The stories we encounter, and our responses to them, tell us who we are. Because of this involving response, story can reinforce cultural particulars and biases or challenge them.
所以我们试图平衡我们的角色和州一级以及它对我们大学的影响。	And so we try to balance what our role is with the state level and and what it does to our to our college.
在联合国方面，它将继续在非洲发展新伙伴关系的架构内和通过非洲联盟支持非洲发展的优先事项。	For its part, the United Nations will continue to support African development priorities within the framework of the New Partnership for Africa's Development and through the African Union.
这一步骤也将便利及时地将资料散播给管理局各成员。	Such a step would also facilitate the dissemination of timely information to members of the Authority.
上帝必须先来，然后它必须在我的行动中表现出来。	That god's got to come first and then it has to show in my actions.
在地图本身中，应被视为视觉和图形的对应物。	on the map itself should be seen as visual and graphic counterparts
菲利普很了解这些亲戚，如果需要的话，他们在整个半岛都有分支。	Philip knew these relatives well they ramify if need be all over the peninsula.
他们吃了大量的煎蛋卷、面包和黄油，还从罐子里欺负牛肉，	And they ate prodigious quantities of omelet and bread and butter and bully beef out of a tin,
耶稣试图说他们的酒已经变成了水，自从摩西的时代以来。	say that their wine had changed to water since the time of Moses. Jesus tried
也许这里的这个是异常值。	Maybe it's maybe it's this one here that's the outlier.
我们希望，我们将能够起而应对这一挑战。	We hope that we will be able to rise to the challenge.
好接受的女人！	The good accepting woman!
正是本着这一精神，我在我国历史的这个关键时刻向大会发言。	It is in this spirit that I address the Assembly at a crucial juncture in the history of my own country.
总之，了解消费者行为为商业和经济领域开辟了全新的可能性领域。通过实践、耐心和好奇心，你也可以成为一个人类天性的大师观察者，将那些见解应用于成功广告活动或仅仅成为一个更聪明的消费者。祝你在探索中收获满满！	In conclusion, learning about consumer behavior opens up a whole new realm of possibilities within the business and economics field. With practice, patience, and curiosity, you too can become a master observer of human nature and apply those insights towards creating successful ad campaigns or simply becoming a smarter shopper. Happy exploring!
该政策已向监督厅通报，监督厅于2009年2月终止这项建议。	The policy was shared with OIOS, which closed the recommendation in February 2009.
你第一次注意到它是什么时候？	When did you first notice it?
是的，这非常有趣。但是	Yeah it's super interesting but
我非常喜欢他对同性恋情感的表达，至少部分原因是在成长过程中不得不高度意识到社会习俗。	I was very taken with his expression of gay sensibility is stemming at least in part from growing up having to be hyper aware of social conventions.
他被判无罪？	He was found not guilty?
在吉普车继续行驶时，吓坏了的男孩仍被绑在车上，随后又将他关押了几个小时才释放。	The terrorized boy was kept on the jeep as it continued driving and was then held in Israeli detention for several hours before being released.
首先，你要去右上角，点击设置。	To start you're gonna go to the upper right hand corner and click on settings.
在未来的某个时候，研究一些实际上可能非常好并且可能有帮助的想法，	To work on ideas that may in fact be very good and may be helpful at some point in the future,
我能数多少代。	As many generations as i can count up.
然后塞进牛的尸体里。	then stuffed inside the buffalo's carcass.
他带来的另一个房客让麦肯齐毫不掩饰地恼火。	And another tenant whom he brought with him to mackenzie's undisguised annoyance.
同样在11日，巴格拉米安的部队在里加以南的梅梅勒河上建立了一个桥头堡，为再次袭击首都做准备。	Also on the eleventh baghgramian's forces secured a bridgehead over the mamela river south of riga in preparation for another attack towards the capital.
他的工作很轻，回报也很重，仅他的管理就使他一年赚了几百英镑。	His work was light his returns were heavy his stewardship alone brought him in several hundreds a year.
似乎我们可以吃和消化任何东西。	And it seemed as if we could eat and digest anything.
亲爱的。	Darlin.
当新闻部应该发布他们的政策手册时，实际上是在二月，	Ah when dpi was supposed to release their policy handbook actually in february,
消除他们作为公认部落的地位，这将	And eliminate their status as a recognized tribe which would
但是有了这些不必要的谎言，危险的谎言。你知道它们是腐蚀性的，我认为这是双重悲剧。	But with these unnecessary untruths dangerous untruths you know that they're corrosive and it's i think a double so double tragedy.
除非你确定自己有能力偿还，否则不要贷款或借钱。除非必要，否则不要使用信用卡消费。利息会累积，所以尽量保持信用卡余额低。	You should not get a loan or borrow money unless you know that you can pay it back. You should not charge unnecessary purchases on your credit card. Interest can really add up, so keep your credit card balances low.
无论需要什么。如果你没有背景，没有文化，也不相信资源或足智多谋，最快的方法就是暴力。	Whatever it takes the fastest way to do this if you have no background no culture no belief in resources or resourcefulness is violence.
嘿，大家好！我只是想分享一下过去几个月里的一段令人难以置信的经历。我从未想过自己会来到像爱丁堡大学这样享有盛誉的学府学习，但生活总是充满了出人意料的惊喜。	Hey everyone! I just wanted to share an incredible journey I've had over the past few months. I never thought I would end up studying at such a prestigious institution like the University of Edinburgh, but life always has its surprising ways.
外国部队已经以对偏远地区的空袭和突袭作为回应，但是这种战术也导致数以百计的平民丧生。	Foreign troops have responded with airstrikes and raids in more remote areas, but the tactics have also led to hundreds of civilian deaths.
过量流动或排放。例如，在痢疾或过度出血期间。	Excessive flow or discharge. For example, in dysentery or excessive menstruation.
此外，	Moreover,
船带来了圣礼和祈祷珠。	The ship brings the sacrament and praying beads.
他们的发病可能不会被敌人发现。	That their onset might not be discovered by their enemies.
在这一章中，我们将探索男性和女性从事不同种类的工作，以及当他们试图打破这些规则时会发生什么。我们还将学习为什么每个人都应该在职场上享有平等的机会的重要性。	In this chapter, we will explore how men and women do different kinds of jobs and what happens when they try to break those rules. We will also learn about why it's important for everyone to have equal opportunities in the workplace.
最后，小组又进一步在其审议个别索赔的序言中强调了提出建议程序的程序性和实质性方面。	Finally, the Panel has further amplified both procedural and substantive aspects of the process of formulating recommendations in its preamble to its consideration of the individual claims.
当我发现主要的酒店和车站时，	And when once i had spotted the principal hotels and stations,
伊拉斯谟计划也支持教师的流动。	Erasmus also supports teacher mobility.
所以绝对不清楚。	Um so it's it's absolutely not clear.
我们和他的关系将以我们的毁灭告终，	And our affair with him will end in our destruction,
受欢迎需要努力、奉献和真实性。因此，专注于发展有意义的关系，同时培养诸如良好的沟通、同理心和积极的态度等可取特质。随着时间的推移，这些努力将极大地有助于提高你在广大人群中的受欢迎程度。	Becoming popular requires effort, dedication, and authenticity. Focus on developing meaningful relationships while cultivating desirable traits like good communication, empathy, and positivity. Over time, these efforts will contribute significantly to enhancing your popularity amongst a broad range of people.
孙子对他说	Grandchild said to him
通过沉浸在纳瓦印度研究之中，我们希望培养对知识的渴望、同情心和承诺，同时促进不同背景人群之间的宗教对话和相互尊重，深化我们对锡克传统知识的了解。	By immersing ourselves in the study of Naam Japna, we hope to cultivate curiosity, compassion, and commitment towards deepening our knowledge of Sikh traditions while fostering interfaith dialogue and mutual respect among people of various backgrounds.
预期成绩数目	Number of expected accomplishments
有梦想实好事情。	It is good to have dreams.
但是让他们过去到博斯基林间空地，	But let them go past to the bosky glade,
